,0
0,BR1_2708578743
1,BR1_2708234827
2,BR1_2708218069
3,BR1_2708193534
4,BR1_2708166850
5,BR1_2708141183
6,BR1_2707655692
7,BR1_2707625597
8,BR1_2706904773
9,BR1_2706873954
10,BR1_2705537809
11,BR1_2705306576
12,BR1_2705276783
13,BR1_2705173719
14,BR1_2705146875
15,BR1_2705121081
16,BR1_2705088482
17,BR1_2705058994
18,BR1_2699955958
19,BR1_2694805454
20,BR1_2690063072
21,BR1_2690044040
22,BR1_2671125487
23,BR1_2671093768
24,BR1_2667697483
25,BR1_2667683627
26,BR1_2667685167
27,BR1_2666586309
28,BR1_2666560661
29,BR1_2658089729
30,BR1_2657241947
31,BR1_2657210585
32,BR1_2653569783
33,BR1_2653537813
34,BR1_2653387490
35,BR1_2653372504
36,BR1_2653327650
37,BR1_2651862710
38,BR1_2651831385
39,BR1_2651798229
40,BR1_2651653015
41,BR1_2651236020
42,BR1_2641385669
43,BR1_2641170469
44,BR1_2640049173
45,BR1_2640019118
46,BR1_2639989622
47,BR1_2639969517
48,BR1_2563295579
49,BR1_2495535095
50,BR1_2495544075
51,BR1_2495533491
52,BR1_2494060036
53,BR1_2493672547
54,BR1_2493121174
55,BR1_2493048141
56,BR1_2492237595
57,BR1_2492234563
58,BR1_2492049763
59,BR1_2492045069
60,BR1_2491964417
61,BR1_2491666124
62,BR1_2491663188
63,BR1_2491620667
64,BR1_2491596303
65,BR1_2491140919
66,BR1_2491058637
67,BR1_2491056410
68,BR1_2491100913
69,BR1_2490950636
70,BR1_2490895250
71,BR1_2490902496
72,BR1_2490891655
73,BR1_2490809559
74,BR1_2490786371
75,BR1_2490825226
76,BR1_2490772249
77,BR1_2490749209
78,BR1_2490557366
79,BR1_2489911247
80,BR1_2489214069
81,BR1_2489139286
82,BR1_2488683476
83,BR1_2488658268
84,BR1_2488412259
85,BR1_2487056944
86,BR1_2486990083
87,BR1_2486957863
88,BR1_2486954338
89,BR1_2486923116
90,BR1_2486811605
91,BR1_2486774591
92,BR1_2486745022
93,BR1_2484833927
94,BR1_2484861796
95,BR1_2484274453
96,BR1_2484259382
97,BR1_2484218419
98,BR1_2482938778
99,BR1_2482926250
